Designator,Mid X,Mid Y,Rotation,Layer
C1,159.775,-100.5,0.0,top
C10,111.5,-81.5,180.0,top
C11,110.02,-83.5,0.0,top
C12,158.5,-147.0,90.0,top
C13,158.775,-152.5,0.0,top
C14,132.725,-116.5,0.0,top
C15,128.5,-71.225,90.0,top
C16,162.5,-90.5,0.0,top
C17,123.0,-89.5,0.0,top
C2,124.775,-120.5,0.0,top
C3,124.775,-118.5,0.0,top
C4,103.275,-120.0,0.0,top
C5,103.275,-123.0,0.0,top
C7,161.0,-147.0,90.0,top
C8,166.0,-136.0,270.0,top
C9,103.0,-135.5,0.0,top
D1,104.0,-89.0,0.0,top
D10,117.0,-89.5,180.0,top
D11,117.5,-133.0,0.0,top
D2,104.0,-93.0,0.0,top
D3,104.0,-97.5,0.0,top
D4,104.0,-102.0,0.0,top
D5,104.0,-106.0,0.0,top
D6,103.5,-110.5,0.0,top
D7,117.0,-119.5,180.0,top
D8,117.0,-124.0,0.0,top
D9,162.5,-137.0,270.0,top
J1,148.92,-94.245,270.0,top
J10,161.73,-123.5,90.0,top
J11,161.73,-127.5,90.0,top
J12,161.69,-131.5,90.0,top
J13,146.92,-129.5,90.0,top
J14,131.69,-129.5,90.0,top
J15,169.19,-87.0,90.0,top
J16,104.5,-74.27,180.0,top
J17,113.42,-115.0,90.0,top
J2,146.5,-151.95,0.0,top
J3,105.5,-83.525,180.0,top
J4,148.92,-119.495,90.0,top
J5,129.0,-104.0,270.0,top
J8,144.27,-87.9754,270.0,top
J9,140.73,-124.0,90.0,top
L1,156.5,-137.5,0.0,top
L2,109.5,-85.485,90.0,top
Q_INV1,104.0625,-130.5,180.0,top
Q_PWR1,108.9375,-130.45,180.0,top
R1,156.325,-98.5,0.0,top
R10,157.0,-150.0,0.0,top
R11,160.5,-150.0,0.0,top
R12,107.0,-126.5,0.0,top
R13,112.0,-134.5,0.0,top
R14,110.5,-126.5,0.0,top
R15,103.5,-133.5,0.0,top
R16,110.0,-72.5,180.0,top
R17,108.0,-102.0,0.0,top
R18,108.0,-106.0,0.0,top
R19,108.0,-110.5,0.0,top
R2,159.825,-98.5,0.0,top
R20,108.0,-89.0,0.0,top
R21,172.675,-133.5,0.0,top
R22,174.0,-130.0,0.0,top
R23,138.325,-108.0,0.0,top
R24,138.325,-105.5,0.0,top
R25,138.325,-103.0,0.0,top
R26,138.325,-100.5,0.0,top
R27,138.325,-98.0,0.0,top
R28,117.0,-128.5,0.0,top
R6,106.0,-118.0,0.0,top
R7,110.0,-118.0,180.0,top
R8,108.0,-93.0,0.0,top
R9,108.0,-97.5,0.0,top
U1,120.0998,-77.5,0.0,top
U2,108.85,-122.0,270.0,top
U3,160.1375,-142.95,180.0,top
U_FF1,113.525,-131.3,0.0,top
U_HALL1,103.5625,-126.0,180.0,top
U_RST1,108.4375,-134.95,180.0,top
